ID,Feature,User story,Expected behavior based on code,Test method,Initial status,Initial result,Error type,Fix status,Retest result,Final status
CMP-001,Direct hash entry,"As a visitor opening /#compare, I want to land on the compare section immediately.","Opening http://localhost:5173/#compare should scroll the rendered page to section id=compare after the final React app mounts.","Chrome runtime probe at 1280x900","Fail","location.hash was #compare but scrollY stayed 0 and #compare top was 5355px below viewport.","Logistical navigation","Fixed in FinalSiteBridge: restored hash scrolling and repeated initial auto-scroll during early layout settlement.","Pass: hash #compare, scrollY 5337, #compare top -3.89px.","Pass"
CMP-002,Compare section composition,"As a visitor in the compare section, I want to see the stage card, product detail card, and comparison panel together.","The #compare section should render product-stage-card, product-detail-card, and compare-panel.","Chrome runtime probe at 1280x900","Pass","All three compare areas rendered.","None","Not needed.","Pass: stage card, detail card, and compare panel rendered.","Pass"
CMP-003,Stage card headline and image,"As a visitor, I want the hero product card to clearly show the featured boiler context.","Stage card should show heading 'Надежное тепло для вашего дома' and image alt 'Navien Deluxe C16 на стене'.","Chrome runtime probe at 1280x900","Pass","Heading and stage product frame were present.","None","Not needed.","Pass: compare text includes headline and featured Navien model context.","Pass"
CMP-004,Stage benefits,"As a visitor, I want three reassurance points before comparing models.","Stage benefits should show 'Официальное оборудование', 'Сертифицированный монтаж', and 'Сервис в Алматы'.","Chrome runtime probe at 1280x900","Pass","All three benefit cards rendered.","None","Not needed.","Pass: all three reassurance points present in #compare text.","Pass"
CMP-005,Product detail facts,"As a visitor, I want the featured model facts to be readable before I choose it.","Product detail card should show Navien Deluxe C16, type tags, description, 16 кВт, до 160 м², 91,2%, service in Алматы и область, price 659 900 ₸, and warranty text.","Chrome runtime probe at 1280x900","Pass","Product title and specs rendered; text concatenation in probe was from DOM extraction, not a visual failure.","None","Not needed.","Pass: product name, tags, specs, price, availability, and warranty text present.","Pass"
CMP-006,Favorite toggle,"As a visitor, I want to save or mark the featured boiler by pressing the heart button.","The 'Добавить в избранное' button should toggle aria-pressed true/false and is-active class on click.","Chrome runtime probe at 1280x900","Fail","Click left aria-pressed null and is-active false.","UX interaction","Fixed in FinalSiteBridge: restored favorite click handler and aria-pressed/is-active state toggle.","Pass: first click aria-pressed true and active; second click aria-pressed false and inactive.","Pass"
CMP-007,Detail tabs default state,"As a visitor, I want one detail tab to be visibly selected by default.","The first tab 'Обзор' should initialize as active when no tab is already active.","Chrome runtime probe at 1280x900","Fail","All tabs initially had active=false and role/tabindex were null.","UX state/accessibility","Fixed in FinalSiteBridge: initialized detail tabs after React mount and mutations.","Pass: Обзор active by default; other tabs inactive.","Pass"
CMP-008,Detail tabs pointer selection,"As a visitor, I want to switch product detail tabs by clicking labels.","Clicking 'Характеристики' should make only that tab active.","Chrome runtime probe at 1280x900","Pass","Clicking 'Характеристики' made it active and other tabs inactive.","None","Not needed.","Pass: clicking Характеристики makes it the only active tab.","Pass"
CMP-009,Detail tabs keyboard access,"As a keyboard user, I want all detail tabs to be reachable and activatable with Enter or Space.","All four tab labels should have role=button and tabindex=0; Enter/Space should switch active state.","Chrome runtime probe at 1280x900","Fail","Span tabs had no role/tabindex before initialization; Tab traversal did not reach them in the tested sequence.","Accessibility","Fixed in FinalSiteBridge: added role=button, tabindex=0, and Enter/Space activation for detail tabs.","Pass: all 4 tabs have role=button and tabindex=0; Enter selects Комплектация; Space selects Отзывы.","Pass"
CMP-010,Pick model CTA,"As a visitor, I want the 'Подобрать' button to take me to the request form.","Clicking 'Подобрать' should prevent dead-end behavior and navigate/scroll to #request.","Code inspection plus Chrome probe","Fail","Button existed but final bundle lacks the dist inline click handler that scrolls to request.","Logistical CTA","Fixed in FinalSiteBridge: restored Подобрать handler to update hash and scroll to request.","Pass: click sets hash #request and request top is 19.8px from viewport top.","Pass"
CMP-011,Comparison panel model count,"As a visitor, I want to compare four models in the panel.","Compare panel should render exactly 4 models: Navien Deluxe C16, Rinnai RBK-158KTU, Baxi ECO Four 24 F, Ariston CLAS X 24 FF.","Chrome runtime probe at 1280x900","Pass","Exactly 4 model cards rendered with expected names.","None","Not needed.","Pass: exactly 4 model cards rendered with expected image alt names.","Pass"
CMP-012,Comparison model specs,"As a visitor, I want each compared model to show power, area, efficiency, city, and country.","Each comparison row should show power, area, efficiency, 'Алматы', and country label.","Chrome runtime probe at 1280x900","Pass","Each model row included specs and country labels.","None","Not needed.","Pass: every model row includes кВт, м², %, and Алматы.","Pass"
CMP-013,Comparison images,"As a visitor, I want each compared model to show a meaningful product image.","Each compare-panel article should include an image with alt text matching brand and model, and images should load without broken resource errors.","Chrome runtime probe plus network status","Pass","Model images were present; only observed console 404 was unrelated favicon/not-found resource.","None","Not needed.","Pass: all 4 model images have alt text and naturalWidth greater than 0; no failed image requests.","Pass"
CMP-014,Responsive compare layout,"As a mobile visitor, I want the compare section to remain readable without overlap.","At mobile width, stage card should stack, detail tabs should wrap to two columns, comparison rows should stack centered, and no horizontal overflow should appear.","Chrome runtime probe at 390x900","Not tested","","","Verified.","Pass: body scrollWidth 390 equals viewport, tabs wrap to 2 rows, compare cards are 338px wide and stacked.","Pass"
